setting,n_features,silhouette
mobility_only,42,0.19357483008121754
visual_pca8_only,8,0.15553560702048316
mobility_visual_pca8,50,0.15509948752669506
mobility_visual_pca16,58,0.09862211129944966
mobility_visual_pca16_alpha0.25,58,0.09862211129944966
mobility_visual_pca16_alpha0.5,58,0.09862211129944966
mobility_visual_pca16_alpha1.0,58,0.09862211129944966
mobility_visual_pca16_alpha0.1,58,0.09862211129944964
mobility_visual_pca32_alpha0.1,74,0.07637419847944082
mobility_visual_pca32,74,0.07637419847944082
mobility_visual_pca32_alpha0.5,74,0.07637419847944081
mobility_visual_pca32_alpha0.25,74,0.07637419847944081
mobility_visual_pca32_alpha1.0,74,0.07637419847944081
visual_pca16_only,16,0.07495741051559132
mobility_visual_pca64_alpha0.1,106,0.04463665349015484
mobility_visual_pca64,106,0.04463665349015484
mobility_visual_pca64_alpha0.5,106,0.04463665349015484
mobility_visual_pca64_alpha0.25,106,0.04463665349015484
mobility_visual_pca64_alpha1.0,106,0.04463665349015484
visual_raw_only,1536,0.04267664625816343
visual_pca32_only,32,0.02913087050510463
mobility_visual_pca128,170,0.015221208071144913
visual_pca64_only,64,0.01422639586043132
visual_pca128_only,128,-0.002396364799653291
